uuid,work_id,item_type,series,year,month,format,title,clean_title,part_index,part_total,proposed_filename,proposed_filename_display
83,w-transcending-barriers,lecture,Nonduality Intensive,2005,06,DVD,Transcending Barriers,Transcending Barriers,2,3,2005-06_Transcending_Barriers_[2-3].mp4,2005-06_Transcending_Barriers_[2/3].mp4
84,w-transcending-barriers,lecture,Nonduality Intensive,2005,06,DVD,Transcending Barriers,Transcending Barriers,3,3,2005-06_Transcending_Barriers_[3-3].mp4,2005-06_Transcending_Barriers_[3/3].mp4
85,w-conviction,lecture,Nonduality Intensive,2005,07,DVD,Conviction,Conviction,1,3,2005-07_Conviction_[1-3].mp4,2005-07_Conviction_[1/3].mp4
86,w-conviction,lecture,Nonduality Intensive,2005,07,DVD,Conviction,Conviction,2,3,2005-07_Conviction_[2-3].mp4,2005-07_Conviction_[2/3].mp4
87,w-conviction,lecture,Nonduality Intensive,2005,07,DVD,Conviction,Conviction,3,3,2005-07_Conviction_[3-3].mp4,2005-07_Conviction_[3/3].mp4
88,w-serenity,lecture,Nonduality Intensive,2005,08,DVD,Serenity,Serenity,1,3,2005-08_Serenity_[1-3].mp4,2005-08_Serenity_[1/3].mp4
89,w-serenity,lecture,Nonduality Intensive,2005,08,DVD,Serenity,Serenity,2,3,2005-08_Serenity_[2-3].mp4,2005-08_Serenity_[2/3].mp4
90,w-serenity,lecture,Nonduality Intensive,2005,08,DVD,Serenity,Serenity,3,3,2005-08_Serenity_[3-3].mp4,2005-08_Serenity_[3/3].mp4
91,w-transcending-obstacles,lecture,Nonduality Intensive,2005,09,DVD,Transcending Obstacles,Transcending Obstacles,1,3,2005-09_Transcending_Obstacles_[1-3].mp4,2005-09_Transcending_Obstacles_[1/3].mp4
92,w-transcending-obstacles,lecture,Nonduality Intensive,2005,09,DVD,Transcending Obstacles,Transcending Obstacles,2,3,2005-09_Transcending_Obstacles_[2-3].mp4,2005-09_Transcending_Obstacles_[2/3].mp4
93,w-transcending-obstacles,lecture,Nonduality Intensive,2005,09,DVD,Transcending Obstacles,Transcending Obstacles,3,3,2005-09_Transcending_Obstacles_[3-3].mp4,2005-09_Transcending_Obstacles_[3/3].mp4
94,w-spiritual-traps,lecture,Nonduality Intensive,2005,10,DVD,Spiritual Traps,Spiritual Traps,1,3,2005-10_Spiritual_Traps_[1-3].mp4,2005-10_Spiritual_Traps_[1/3].mp4
95,w-spiritual-traps,lecture,Nonduality Intensive,2005,10,DVD,Spiritual Traps,Spiritual Traps,2,3,2005-10_Spiritual_Traps_[2-3].mp4,2005-10_Spiritual_Traps_[2/3].mp4
96,w-spiritual-traps,lecture,Nonduality Intensive,2005,10,DVD,Spiritual Traps,Spiritual Traps,3,3,2005-10_Spiritual_Traps_[3-3].mp4,2005-10_Spiritual_Traps_[3/3].mp4
97,w-valid-teachers-and-teachings,lecture,Nonduality Intensive,2005,11,DVD,Valid Teachers and Teachings,Valid Teachers and Teachings,1,3,2005-11_Valid_Teachers_and_Teachings_[1-3].mp4,2005-11_Valid_Teachers_and_Teachings_[1/3].mp4
98,w-valid-teachers-and-teachings,lecture,Nonduality Intensive,2005,11,DVD,Valid Teachers and Teachings,Valid Teachers and Teachings,2,3,2005-11_Valid_Teachers_and_Teachings_[2-3].mp4,2005-11_Valid_Teachers_and_Teachings_[2/3].mp4
99,w-valid-teachers-and-teachings,lecture,Nonduality Intensive,2005,11,DVD,Valid Teachers and Teachings,Valid Teachers and Teachings,3,3,2005-11_Valid_Teachers_and_Teachings_[3-3].mp4,2005-11_Valid_Teachers_and_Teachings_[3/3].mp4
100,w-god-religion-and-spirituality,lecture,Nonduality Intensive,2005,12,DVD,"God, Religion, and Spirituality","God, Religion, and Spirituality",1,3,"2005-12_God,_Religion,_and_Spirituality_[1-3].mp4","2005-12_God,_Religion,_and_Spirituality_[1/3].mp4"
101,w-god-religion-and-spirituality,lecture,Nonduality Intensive,2005,12,DVD,"God, Religion, and Spirituality","God, Religion, and Spirituality",2,3,"2005-12_God,_Religion,_and_Spirituality_[2-3].mp4","2005-12_God,_Religion,_and_Spirituality_[2/3].mp4"
102,w-god-religion-and-spirituality,lecture,Nonduality Intensive,2005,12,DVD,"God, Religion, and Spirituality","God, Religion, and Spirituality",3,3,"2005-12_God,_Religion,_and_Spirituality_[3-3].mp4","2005-12_God,_Religion,_and_Spirituality_[3/3].mp4"
103,w-experiential-reality,lecture,Transcending Levels of Consciousness,2006,02,DVD,Experiential Reality,Experiential Reality,1,3,2006-02_Experiential_Reality_[1-3].mp4,2006-02_Experiential_Reality_[1/3].mp4
104,w-experiential-reality,lecture,Transcending Levels of Consciousness,2006,02,DVD,Experiential Reality,Experiential Reality,2,3,2006-02_Experiential_Reality_[2-3].mp4,2006-02_Experiential_Reality_[2/3].mp4
105,w-experiential-reality,lecture,Transcending Levels of Consciousness,2006,02,DVD,Experiential Reality,Experiential Reality,3,3,2006-02_Experiential_Reality_[3-3].mp4,2006-02_Experiential_Reality_[3/3].mp4
106,w-tlc-perception,lecture,Transcending Levels of Consciousness,2006,04,DVD,Perception vs Essence,Perception vs Essence,1,3,2006-04_Perception_vs_Essence_[1-3].mp4,2006-04_Perception_vs_Essence_[1/3].mp4
107,w-tlc-perception,lecture,Transcending Levels of Consciousness,2006,04,DVD,Perception vs Essence,Perception vs Essence,2,3,2006-04_Perception_vs_Essence_[2-3].mp4,2006-04_Perception_vs_Essence_[2/3].mp4
108,w-tlc-perception,lecture,Transcending Levels of Consciousness,2006,04,DVD,Perception vs Essence,Perception vs Essence,3,3,2006-04_Perception_vs_Essence_[3-3].mp4,2006-04_Perception_vs_Essence_[3/3].mp4
109,w-spiritual-truth-vs-spiritual-fantasy,lecture,Transcending Levels of Consciousness,2006,06,DVD,Spiritual Truth vs. Spiritual Fantasy,Spiritual Truth vs. Spiritual Fantasy,1,3,2006-06_Spiritual_Truth_vs._Spiritual_Fantasy_[1-3].mp4,2006-06_Spiritual_Truth_vs._Spiritual_Fantasy_[1/3].mp4
110,w-spiritual-truth-vs-spiritual-fantasy,lecture,Transcending Levels of Consciousness,2006,06,DVD,Spiritual Truth vs. Spiritual Fantasy,Spiritual Truth vs. Spiritual Fantasy,2,3,2006-06_Spiritual_Truth_vs._Spiritual_Fantasy_[2-3].mp4,2006-06_Spiritual_Truth_vs._Spiritual_Fantasy_[2/3].mp4
111,w-spiritual-truth-vs-spiritual-fantasy,lecture,Transcending Levels of Consciousness,2006,06,DVD,Spiritual Truth vs. Spiritual Fantasy,Spiritual Truth vs. Spiritual Fantasy,3,3,2006-06_Spiritual_Truth_vs._Spiritual_Fantasy_[3-3].mp4,2006-06_Spiritual_Truth_vs._Spiritual_Fantasy_[3/3].mp4
